('哪一颗牙最后一次长出来？', '答案: 假牙')
('一群惧内的大丈夫们正聚集在一起商量怎样重振男子汉的雄风，突然听说他们的老婆来了，大家四处逃窜，惟独一人没有跑，为什么？', '一群惧内的大丈夫们正聚集在一起商量怎样重振男子汉的雄风，突然听说他们的老婆来了，大家四处逃窜，惟独一人没有跑，为什么？ &mdash;&mdash; 答案: 吓死了')
('什么数字减去一半等于零?', '什么数字减去一半等于零? &mdash;&mdash; 答案: 8')
('一年里，有些月份像一月份有三十一日的，也有些月份像六月份有三十日的。请问，有二十八日的总共有那几个月份呢?', '一年里，有些月份像一月份有三十一日的，也有些月份像六月份有三十日的。请问，有二十八日的总共有那几个月份呢? &mdash;&mdash; 答案: 每个月都有')
('常把手伸向别人包里的人，为什么却不是小偷？', '常把手伸向别人包里的人，为什么却不是小偷？ &mdash;&mdash; 答案: 海关检查员')
('一个离过50次婚的女人．应该怎么形容她?', '问：一个离过50次婚的女人．应该怎么形容她?\u3000\u3000答：前&ldquo;公&rdquo;尽弃。')
('人能活多久呢?', '问：人能活多久呢?\u3000\u3000答：活到死。')
('为什么有的果树生长十几年也结不出一个苹果来呢?', '问：为什么有的果树生长十几年也结不出一个苹果来呢?\u3000\u3000答：因为不是苹果树。')
('阿文有两张电影票，上演前几天，他就匆匆忙忙地邀请女朋友，为什么？', '问：阿文有两张电影票，上演前几天，他就匆匆忙忙地邀请女朋友，为什么？\u3000\u3000答：女人化妆太慢。')
('什么亮在暗处看不见？', '问：什么亮在暗处看不见？\u3000\u3000答：漂亮。')
('什么人可以免费享受旅游，不是导游哦', '问：什么人可以免费享受旅游，不是导游哦？\u3000\u3000答：未出生的婴儿。')
('明明是放砂糖的罐子，为什么却贴上标签“盐”，作用何在呢？', '问：明明是放砂糖的罐子，为什么却贴上标签&ldquo;盐&rdquo;，作用何在呢？\u3000\u3000答：骗蚂蚁。')
('“一片月明千里”动物', '问：&ldquo;一片月明千里&rdquo;动物?\u3000\u3000答：响马。')
('“今朝千里穿云岭”成语', '问：&ldquo;今朝千里穿云岭&rdquo;成语?\u3000\u3000答：天马行空。')
('什么东西越长越细越难过，越短越粗越好过?', '问：什么东西越长越细越难过，越短越粗越好过?\u3000\u3000答：独木桥。')
("什么是治疗“口臭'的最佳方案?", "问：什么是治疗&ldquo;口臭'的最佳方案?\u3000\u3000答：闭嘴。")
('想要学好孙子兵法，首先你得需要什么呢？', '问：想要学好孙子兵法，首先你得需要什么呢？\u3000\u3000答：首先你得有个爷爷。')
('孙悟空原来大闹天宫，可是为什么他从五指山出来后，连个妖怪也打不过呢？为什么呢？', '问：孙悟空原来大闹天宫，可是为什么他从五指山出来后，连个妖怪也打不过呢？为什么呢？\u3000\u3000答：这就是你见识短了，你账号被封五百年试试。')
('哪个省的男人最不适合做老公？', '问：哪个省的男人最不适合做老公？\u3000\u3000答：节省的男人最不适合。')
('"幸亏他登山越岭,跋涉崎岖" 成语', '问：&quot;幸亏他登山越岭,跋涉崎岖&quot; 成语？\u3000\u3000答：人仰马翻。')
('"车辚辚，马萧萧" 三字人体动作', '问：&quot;车辚辚，马萧萧&quot; 三字人体动作？\u3000\u3000答：弓着腰。')
('"比干大叫一声,撞下马来,一腔热血溅尘埃" 四字俗语', '问：&quot;比干大叫一声,撞下马来,一腔热血溅尘埃&quot; 四字俗语？\u3000\u3000答：人心没尽。')
('一个人在什么情况下，才处于真正的任人宰割的地步?', '一个人在什么情况下，才处于真正的任人宰割的地步?(答案：在手术台上时)')
('公共汽车上，两个人正在热烈的交谈，可围观的人却一句话也听不到，这是因为什么?', '公共汽车上，两个人正在热烈的交谈，可围观的人却一句话也听不到，这是因为什么?(答案：这是一对聋哑人)')
('小明总是喜欢把家里的闹钟整坏，妈妈为什么总是让不会修理钟表的爸爸代为修理?', '小明总是喜欢把家里的闹钟整坏，妈妈为什么总是让不会修理钟表的爸爸代为修理?(答案：修理小明)')
('胖妞生病了，最怕别人来探病时说什么?', '胖妞生病了，最怕别人来探病时说什么? (答案：多多保重)')
('小刘是个很普通的人，为什么竟然能一连十几个小时不眨眼?', '小刘是个很普通的人，为什么竟然能一连十几个小时不眨眼? (答案：睡觉的时候)')
('别人跟阿丹说她的衣服怎么没衣扣，她却不在乎，为什么?', '别人跟阿丹说她的衣服怎么没衣扣，她却不在乎，为什么? (答案：因为他的衣服只有拉链没有扣子)')
('张大妈整天说个不停，可有一个月她说话最少，那是哪个月?', '张大妈整天说个不停，可有一个月她说话最少，那是哪个月?(答案：二月份)')
('在一间房子里,有油灯,暖炉及壁炉.现在,想要将三个器具点燃,可是你只有一根火柴.请问首先应该点哪一样?', '在一间房子里,有油灯,暖炉及壁炉.现在,想要将三个器具点燃,可是你只有一根火柴.请问首先应该点哪一样? (答案：火柴)')
('阿明给蚊子咬了一大一小的包，请问较大的包，是公蚊子咬的，还是母蚊子咬的?', '阿明给蚊子咬了一大一小的包，请问较大的包，是公蚊子咬的，还是母蚊子咬的? (答案：公蚊是不咬人的)')
('什么东西最硬?女孩子最喜欢，特别是结了婚的女人，更是爱死了。', '什么东西最硬?女孩子最喜欢，特别是结了婚的女人，更是爱死了。 (答案：钻石)')
('如何形容一个经历过整容和变性的男人？', '问：如何形容一个经历过整容和变性的男人？\u3000\u3000答：调皮捣蛋。')
('什么植物最老实？', '问：什么植物最老实？\u3000\u3000答：是芭蕉，因为老实芭蕉。')
('几天前我家旁边的房子换新主人了，新邻居叫马乐，看来我也该搬家了……为什么呢？', '问：几天前我家旁边的房子换新主人了，新邻居叫马乐，看来我也该搬家了&amp;hellip;&amp;hellip;为什么呢？\u3000\u3000答：不搬家就成了马乐隔壁。')
('为什么我喝多了酒吧就不愿卖酒给我，而麦当劳却一直卖汉堡给胖子们？', '问：为什么我喝多了酒吧就不愿卖酒给我，而麦当劳却一直卖汉堡给胖子们？\u3000\u3000答：因为醉汉喝多了闹事儿，胖子吃少了闹事儿。')
('0到9这几个数字谁比较高？', '问：0到9这几个数字谁比较高？\u3000\u3000答：0比较高，因为有龟苓膏（归零高）。')
('纵使你有千万双手 也拉不住一个铁了心要离开的人。不过有一个办法可以，是什么呢？', '问：纵使你有千万双手 也拉不住一个铁了心要离开的人。不过有一个办法可以，是什么呢？\u3000\u3000答：拿磁铁吸回来。')
('路人甲和路人乙走在路上，一辆车从后面开过来，然后他们都变成了什么呢？', '问：路人甲和路人乙走在路上，一辆车从后面开过来，然后他们都变成了什么呢？\u3000\u3000答：路人饼。')
('什么猫从不抓老鼠？', '问：什么猫从不抓老鼠？\u3000\u3000答：熊猫。')
('什么人最爱出洋相？', '问：什么人最爱出洋相？\u3000\u3000答：最爱照相的洋人。')
('除了盲人以外，什么人的眼睛看不见？', '问：除了盲人以外，什么人的眼睛看不见？\u3000\u3000答：睡着的人。')
('谁模仿你的声音最像？', '问：谁模仿你的声音最像？\u3000\u3000答：录音机。')
('没有父母的娃娃叫什么？', '问：没有父母的娃娃叫什么？\u3000\u3000答：玩具娃娃。')
('说一件基本上每个人都坚持了一年以上的事情。不是吃饭睡觉什么的！', '问：说一件基本上每个人都坚持了一年以上的事情。不是吃饭睡觉什么的！\u3000\u3000答：追星。')
('一个胖子和一个瘦子同时感冒了，谁的感冒症状比较厉害？', '问：一个胖子和一个瘦子同时感冒了，谁的感冒症状比较厉害？\u3000\u3000答：胖子的感冒症状比较厉害，因为胖子是重感冒。')
('为什么二月里男人不能在有风的地方小便？', '问：为什么二月里男人不能在有风的地方小便？\u3000\u3000答：因为二月春风似剪刀。')
('女孩子的大姨妈最像哪个动画人物？喜羊羊、灰太狼、黑猫警长、葫芦娃？', '问：女孩子的大姨妈最像哪个动画人物？喜羊羊、灰太狼、黑猫警长、葫芦娃？\u3000\u3000答：灰太狼，因为灰太狼被打败后每次都会说：我还会回来的。')
('透明的剑是什么剑？', '问：透明的剑是什么剑？\u3000\u3000答：看不见／剑。')
('风吹过还有感觉呢，谁离开却真的是悄无声息的呢？', '问：风吹过还有感觉呢，谁离开却真的是悄无声息的呢？\u3000\u3000答：小偷。')
('有一种人他不喜欢你还不让你喜欢别人，是谁呢？', '问：有一种人他不喜欢你还不让你喜欢别人，是谁呢？\u3000\u3000答：班主任。')
('什么笔不能写?', '问：什么笔不能写?\u3000\u3000答：试电笔。')
('从来没见过的爷爷他是什么爷爷?', '问：从来没见过的爷爷他是什么爷爷?\u3000\u3000答：老天爷。')
('偷什么不犯法？', '问：偷什么不犯法？\u3000\u3000答：偷笑。')
('一位好姐妹屁股比较大，因此我们叫她：海豚。那这位好姐妹放的屁该怎么叫呢？', '问：一位好姐妹屁股比较大，因此我们叫她：海豚。那这位好姐妹放的屁该怎么叫呢？\u3000\u3000答：放的屁叫海豚音。')
('女人什么时候才会嫌衣服太多？', '问：女人什么时候才会嫌衣服太多？\u3000\u3000答：洗衣服的时候。')
('有个胖子上了公共汽车，没有月票，也没有买票，售票员为什么让他从起点坐到终点？', '问：有个胖子上了公共汽车，没有月票，也没有买票，售票员为什么让他从起点坐到终点？\u3000\u3000答：是个司机。')
('的士生意不好,打一韩国明星?', '问：的士生意不好,打一韩国明星?\u3000\u3000答：车太贤。')
('狗的儿子跟龙的儿子，有几点差异？', '问：狗的儿子跟龙的儿子，有几点差异？\u3000\u3000答：一点(犬子太子)。')
('有一个人，他是你父母生的，但他却不是你的兄弟姐妹，他是谁?', '有一个人，他是你父母生的，但他却不是你的兄弟姐妹，他是谁? &mdash;&mdash;你自己')
('有一块天然的黑色的大理石，在九月七号这一天，把它扔到钱塘江里会有什么现象发生?', '有一块天然的黑色的大理石，在九月七号这一天，把它扔到钱塘江里会有什么现象发生?&mdash;&mdash;沉到江底')
('有个地方专门教坏人，但没有一个警察敢对它采取行动加以扫荡。这是什么地方', '有一个专门教坏人，但没有一个警察敢对它采取行动加以扫荡。这是什么地方 &mdash;&mdash;看守所')
('一间牢房中关了两名犯人，其中一个因偷窃，要关一年，另一个是强盗杀人犯，却只关两个星期，为什么?', '一间牢房中关了两名犯人，其中一个因偷窃，要关一年，另一个是强盗杀人犯，却只关两个星期，为什么? (答案：因为杀人犯要拉去填命)')
('舔也硬，不舔也硬，想舒服睡，先搓搓它', '舔也硬，不舔也硬，想舒服睡，先搓搓它&mdash;&mdash;牙齿')
('两个人住在一个胡同里，只隔几步路，他们同在一个工厂上班，但每天出门上班，却总一个向左，一个向右，为什么?', '两个人住在一个胡同里，只隔几步路，他们同在一个工厂上班，但每天出门上班，却总一个向左，一个向右，为什么? &mdash;&mdash;他们住对门')
('中国人最早的姓氏是什么?', '中国人最早的姓氏是什么?&mdash;&mdash;姓善')
('地球上什么东西每天要走的距离最远?', '地球上什么东西每天要走的距离最远? &mdash;&mdash;答案：地球')
('什么样的轮子只转不走?', '什么样的轮子只转不走?&mdash;&mdash;答案：风车的轮子')
('三个孩子吃三个饼要用3分钟，九十个孩子九十个饼要用多少时间?', '三个孩子吃三个饼要用3分钟，九十个孩子九十个饼要用多少时间?&mdash;&mdash;也是三分钟，九十个孩子同时吃')
('一个离过五十次婚的女人，应该怎么形容她?', '一个离过五十次婚的女人，应该怎么形容她?&mdash;&mdash;前功，尽弃')
('你能做、我能做、大家都能做，一个人能做、两个人不能一起做。这是做什么?', '你能做、我能做、大家都能做，一个人能做、两个人不能一起做。这是做什么? &mdash;&mdash;做梦')
('从北京到天津要一小时，火车从北京开往天津，发车半小时后，问火车现在在那里？', '从北京到天津要一小时，火车从北京开往天津，发车半小时后，问火车现在在那里？&mdash;&mdash; 答案: 在铁轨上')
('小美在事业并没有什么成就，为什么也有女强人的外号？', '小美在事业并没有什么成就，为什么也有女强人的外号？ &mdash;&mdash; 答案: 因为她常常强人所难')
('为什么白鹭莺总是缩者一只脚睡觉？', '为什么白鹭莺总是缩者一只脚睡觉？ &mdash;&mdash; 答案: 缩两只脚就会跌')
('一种用舌头解不开，就用牙齿咬的解决政治疮疤的方法是什么？', '一种用舌头解不开，就用牙齿咬的解决政治疮疤的方法是什么？ &mdash;&mdash; 答案: 战争')
('一个招牌突然由高处掉落，砸向并排行走的五个人，为什么只有三个人受伤?', '一个招牌突然由高处掉落，砸向并排行走的五个人，为什么只有三个人受伤?&mdash;&mdash; 答案: 因为是麦当劳&amp;lsquo;M&amp;rsquo;的招牌')
('警察面对两名歹徒，但他只剩下一颗子弹，他对歹徒说：谁动就打谁，结果没动的反而挨子弹，为什么？', '警察面对两名歹徒，但他只剩下一颗子弹，他对歹徒说：谁动就打谁，结果没动的反而挨子弹，为什么？ &mdash;&mdash; 答案: 因为不动的比较好打')
('一个人什么“地方”能大能小？', '一个人什么&ldquo;地方&rdquo;能大能小？ &mdash;&mdash; 答案: 心眼儿')
('阿呆从热气球上掉下来，却没有受伤，为什么？', '阿呆从热气球上掉下来，却没有受伤，为什么？ &mdash;&mdash; 答案: 还没起飞')
('小红和小李互相吹牛，小红说她可以把整个世界吃下去，小李说了什么胜过了小红?', '小红和小李互相吹牛，小红说她可以把整个世界吃下去，小李说了什么胜过了小红?&mdash;&mdash; 答案: 我可以把你吃下去')
('戴维一家五口外出旅游，说好一人带一瓶饮料可戴维坚持只带4瓶可口可乐，为什么？', '戴维一家五口外出旅游，说好一人带一瓶饮料可戴维坚持只带4瓶可口可乐，为什么？&mdash;&mdash; 答案: 还有一瓶是汽水')
('谁的脑子记住的东西最多？', '谁的脑子记住的东西最多？ &mdash;&mdash; 答案: 电脑')
('上海的南京路，来往最多的是什么人?', '上海的南京路，来往最多的是什么人? &mdash;&mdash; 答案: 中国人')
('小偷从现场逃走，为什么没有留下脚印？', '小偷从现场逃走，为什么没有留下脚印？ &mdash;&mdash; 答案: 倒着走的')
('让人们甘心情愿买假的东西是什么？', '让人们甘心情愿买假的东西是什么？ &mdash;&mdash; 答案: 假发，假牙')
('一座桥上面立有一牌，牌上写“不准过桥”。 但是很多人都照样不理睬，照样过去。你说为什么？', '一座桥上面立有一牌，牌上写“不准过桥”。 但是很多人都照样不理睬，照样过去。你说为什么？ &mdash;&mdash; 答案: 这座桥的名字叫“不准过桥”')
('有只鸡，鸡的左面有只猫，右面有条狗，前面有只兔子，鸡的后面是什么', '有只鸡，鸡的左面有只猫，右面有条狗，前面有只兔子，鸡的后面是什么？&mdash;&mdash; 答案: 注意第一句话，从的前面有只鸡，那么鸡的后面当然是“从”了')
('在船上见得最多的是什么？', '在船上见得最多的是什么？ &mdash;&mdash; 答案: 水\u3000\u3000')
('骑马的蒙古人，是怎么走路的？', '骑马的蒙古人，是怎么走路的？ &mdash;&mdash; 答案: 走马步\u3000\u3000')
('小华说他能在1秒钟之内把房间和房间里的玩具都变没了，这可能吗?', '小华说他能在1秒钟之内把房间和房间里的玩具都变没了，这可能吗?&mdash;&mdash; 答案: 把眼睛闭上')
('一个婚姻破碎的男人，桌上放着一把刀，请问他要作什么？', '一个婚姻破碎的男人，桌上放着一把刀，请问他要作什么？ &mdash;&mdash; 答案: 要学着自己做菜')
('释迦牟尼是男人还是女人？', '释迦牟尼是男人还是女人？ &mdash;&mdash; 答案: 都不是，他是神')
('江家有三个女儿，大女儿、二女儿、三女儿。谁的身材最辣？', '江家有三个女儿，大女儿、二女儿、三女儿。谁的身材最辣？&mdash;&mdash; 答案: 大女儿因为姜还是老的辣')
('猜猜看：今年圣诞夜，圣诞老人第一件放进袜子里的是什么东西？', '猜猜看：今年圣诞夜，圣诞老人第一件放进袜子里的是什么东西？ &mdash;&mdash; 答案: 也自己的脚')
('一加一等于几？', '一加一等于几？ &mdash;&mdash; 答案: 不三不四')
('小明是个近视眼，也是个出名的馋小子，在他面前放一堆书，书后放一个苹果，你说他会先看什么', '小明是个近视眼，也是个出名的馋小子，在他面前放一堆书，书后放一个苹果，你说他会先看什么？ &mdash;&mdash; 答案: 什么都看不到')
('胆小鬼吃什么可以壮胆？', '胆小鬼吃什么可以壮胆？ &mdash;&mdash; 答案: 狗胆，狗胆包天')
('小明因工作需要常应酬交际，虽然每天都很早回家，可是老婆还是抱怨不断。为什么？', '小明因工作需要常应酬交际，虽然每天都很早回家，可是老婆还是抱怨不断。为什么？&mdash;&mdash; 答案: 他是早上才回家')
('一个动物园的大象死了，为什么大象管理员哭得那么伤心？', '一个动物园的大象死了，为什么大象管理员哭得那么伤心？&mdash;&mdash; 答案: 他想到要挖那么大一个坑，所以就&amp;hellip;')
('小华家住在五楼，可是电梯坏了，他自己也没有走楼梯，他却上了五楼回到家里，这可能吗？', '小华家住在五楼，可是电梯坏了，他自己也没有走楼梯，他却上了五楼回到家里，这可能吗？ &mdash;&mdash; 答案: 他妈妈背着他上楼')
('化妆品可以使女人的脸变得美丽，可是会使哪些人的脸变得非常难看？', '化妆品可以使女人的脸变得美丽，可是会使哪些人的脸变得非常难看？&mdash;&mdash; 答案: 付钱的男人')
('什么样的鸡蛋永远也孵不出小鸡？', '什么样的鸡蛋永远也孵不出小鸡？ &mdash;&mdash; 答案: 熟的')
('为什么大象只有一只右耳朵', '问：为什么大象只有一只右耳朵？\u3000\u3000答：每只大象都有一只右耳朵。')
('一女牵牛过独桥，夕阳落在方井上', '问：一女牵牛过独桥，夕阳落在方井上？\u3000\u3000答：姓名。')
('把24个人按5人排列，排城6行，该怎样排', '问：把24个人按5人排列，排城6行，该怎样排？\u3000\u3000答：排成正六边形即可。')
('来电了怎么办', '问：来电了怎么办？\u3000\u3000答：看电视呀。')
('你能否用3跟筷子搭起一个比3大比4小的数', '问：你能否用3跟筷子搭起一个比3大比4小的数？\u3000\u3000答：搭成圆周率&ldquo;&prod;&rdquo;。')
('包公的脸为什么是黑的', '问：包公的脸为什么是黑的？\u3000\u3000答：因为额头上有个月亮月亮都是晚上出来。')
('有爷俩，娘俩和兄妹俩，只有6个烧饼，但却每人分得了两个，这是为什么', '问：有爷俩，娘俩和兄妹俩，只有6个烧饼，但却每人分得了两个，这是为什么？\u3000\u3000答：他们只有三个人：儿子、母亲、舅舅。')
('大象的左耳朵像什么', '问：大象的左耳朵像什么？\u3000\u3000答：像右耳朵。')
('一条凶猛的眼镜蛇，在一个森林里它为什么不吃人', '问：一条凶猛的眼镜蛇，在一个森林里它为什么不吃人？\u3000\u3000答：因为森林里没有人。')
('老虎的弟弟是谁', '问：老虎的弟弟是谁？\u3000\u3000答：猫。')
('为什么一群狼中有一只羊', '问：为什么一群狼中有一只羊？\u3000\u3000答：&ldquo;群&rdquo;字中有一个&ldquo;羊&rdquo;字。')
('沿着山壁凿成的山路，因坍方而形成一个宽深的大洞，路边却没有警告标志，为什么', '问：沿着山壁凿成的山路，因坍方而形成一个宽深的大洞，路边却没有警告标志，为什么？\u3000\u3000答：因为大洞在山壁上,没有危险。')
('什么时候棉花比盐重', '问：什么时候棉花比盐重？\u3000\u3000答：浸了水。')
('有一群耗子，中间有只猫，问还有几只耗子', '问：有一群耗子，中间有只猫，问还有几只耗子？\u3000\u3000答：一只也没有。')
('用三个3 组成一个最大的数', '问：用三个3 组成一个最大的数？\u3000\u3000答：3的33次方。')
('攻城时为什么都要杀个鸡犬不留', '问：攻城时为什么都要杀个鸡犬不留？\u3000\u3000答：加菜。')
('干涉', '问：干涉？\u3000\u3000答：步。')
('台北车站前面是忠孝西路，请问左右两边是什么路', '问：台北车站前面是忠孝西路，请问左右两边是什么路？\u3000\u3000答：柏油路马路。')
('吃饭的时候最扫兴的是什么', '问：吃饭的时候最扫兴的是什么？\u3000\u3000答：没做饭。')
('在学校犯错被逮到之后当然会被记过，那为什么还要写悔过书呢', '问：在学校犯错被逮到之后当然会被记过，那为什么还要写悔过书呢？\u3000\u3000答：以便励治下次再也不要被抓到。')
('毛毛从20楼跳下去，为什么没有事', '问：毛毛从20楼跳下去，为什么没有事？\u3000\u3000答：往里跳。')
('一个很古老的题目。把大象装进冰箱要几步', '问：一个很古老的题目。把大象装进冰箱要几步？\u3000\u3000答：三步，先打开冰箱，再把大象放进去，最后把冰箱门关上。')
('全世界死亡率最高的地方在哪里', '问：全世界死亡率最高的地方在哪里？\u3000\u3000答：在床上。')
('麦克杰克逊为什么要去做漂白手术', '问：麦克杰克逊为什么要去做漂白手术？\u3000\u3000答：怕遭到不白之冤。')
('医治晕车的最好办法是什么', '问：医治晕车的最好办法是什么？\u3000\u3000答：不坐车。')
('二姑娘（打一字）', '问：二姑娘（打一字）？\u3000\u3000答：姿。')
('什么地方开口说话要付钱', '问：什么地方开口说话要付钱？\u3000\u3000答：打电话。')
('用哪三个字可以回答一切疑问题', '问：用哪三个字可以回答一切疑问题？\u3000\u3000答：不知道。')
('什么东西不用的时候朝下,用的时候朝前', '问：什么东西不用的时候朝下,用的时候朝前？\u3000\u3000答：钥匙。')
('什么时候最好还是要高高举起你的双手好些', '问：什么时候最好还是要高高举起你的双手好些？\u3000\u3000答：有人用枪指着你的时候。')
('给你一本杂志和一个火柴盒，你能使杂志只有三分之一放在桌边而不掉落下来吗', '问：给你一本杂志和一个火柴盒，你能使杂志只有三分之一放在桌边而不掉落下来吗？\u3000\u3000答：把杂志掀开三分之一放在桌边，自然就不会掉下来了。')
('黑人不必担心哪一件事', '问：黑人不必担心哪一件事？\u3000\u3000答：晒黑。')
('商店标明一支双响枪射程160米，为什么实际射程只有80米呢？', '商店标明一支双响枪射程160米，为什么实际射程只有80米呢？&mdash;&mdash; 答案: 双响加起来算岂不是正好')
('《狼来了》这个故事给人什么启示？', '《狼来了》这个故事给人什么启示？ &mdash;&mdash; 答案: 谎话不要重复说两次')
('小李因工作需要常应酬交际，虽然每天都很早回家，可是老婆还是抱怨不断。为什么？', '小李因工作需要常应酬交际，虽然每天都很早回家，可是老婆还是抱怨不断。为什么？&mdash;&mdash; 答案: 他是早上才回家')
('小王娶媳妇为什么不花一分钱？', '小王娶媳妇为什么不花一分钱？ &mdash;&mdash; 答案: 做梦娶')
('能容纳所有景物的球是什么球？', '能容纳所有景物的球是什么球？ &mdash;&mdash; 答案: 眼球')
('什么东西洗好了后却不能吃？', '什么东西洗好了却不能吃？ &mdash;&mdash; 答案: 扑克\u3000\u3000')
('一个小姑娘打排球，她发了一个球，可无论谁都接不着，为什麽？', '一个小姑娘在打排球，她发了一个球，可无论谁都接不着，为什麽？&mdash;&mdash; 答案: 球没发出去，或者球出界了\u3000')
('在营休假的阿福和阿明，为什么躲在寝室里却搞得流血又流浓的好不畅快？', '在营休假的阿福和阿明，为什么躲在寝室里却搞得流血又流浓的好不畅快？&mdash;&mdash; 答案: 相互挤青春痘')
('今天下午到旺角看电影，到了旺角，半个人也看不见，为什么？', '今天下午到旺角看电影，到了旺角，半个人也看不见，为什么？&mdash;&mdash; 答案: 人是没有半个的')
('某先生有个本领，那就是能让见到他的人，都会自动手心朝上。这是怎么回事？', '某先生有个本领，那就是能让见到他的人，都会自动手心朝上。这是怎么回事？&mdash;&mdash; 答案: 因为他是个中医')
('你站在树叶上，猜一电影中人名？', '你站在树叶上，猜一电影中人名？ &mdash;&mdash; 答案: 朱丽叶')
('什么是在废除死刑制度之后的民主、法治国度里，授予医生的一种宣判死刑的特权？', '什么是在废除死刑制度之后的民主、法治国度里，授予医生的一种宣判死刑的特权？&mdash;&mdash; 答案: 癌症')
('为什么女人的衣服总是少一件？', '为什么女人的衣服总是少一件？ &mdash;&mdash; 答案: 因为她穿在身上')
('一位先生从单身到结婚，再到生孩子，给乞丐施舍的钱越来越少，乞丐为此大为光火。乞丐生气的理由是什么?', '一位先生从单身到结婚，再到生孩子，给乞丐施舍的钱越来越少，乞丐为此大为光火。乞丐生气的理由是什么? &mdash;&mdash; 答案: 这不是拿乞丐的钱养活家人吗?')
('什么时候我们会心甘情愿的熄灭自己的生命之火?', '什么时候我们会心甘情愿的熄灭自己的生命之火? &mdash;&mdash; 答案: 切生日蛋糕以后')
('包公的脸为什么是黑的？', '包公的脸为什么是黑的？ &mdash;&mdash; 答案: 因为额头上有个月亮月亮都是晚上出来')
('在著名的中国古典文学“红楼梦”中，多愁善感的林黛玉为什么要葬花?', '在著名的中国古典文学“红楼梦”中，多愁善感的林黛玉为什么要葬花?&mdash;&mdash; 答案: 反正闲着也是闲着 \u3000\u3000')
('两个小朋友都买了一样的鞋，为什么他们穿的鞋还是不一样？', '两个小朋友都买了一样的鞋，为什么他们穿的鞋还是不一样？ &mdash;&mdash; 答案: 买的新鞋还没穿\u3000\u3000')
('做什么事会身不由己？', '做什么事会身不由己？ &mdash;&mdash; 答案: 做梦\u3000\u3000')
('“蚕蚁”是蚂蚁还是蚕？', '&ldquo;蚕蚁&rdquo;是蚂蚁还是蚕？ &mdash;&mdash; 答案: 蚕\u3000\u3000')
('“天赋权利”的最佳例子？', '&ldquo;天赋权利&rdquo;的最佳例子？ &mdash;&mdash; 答案: 吃母奶\u3000')
('三个人共撑一把伞在街上走，却没有淋湿身，为什么?', '三个人共撑一把伞在街上走，却没有淋湿身，为什么? &mdash;&mdash; 答案: 根本没有下雨')
('离婚的主要起因是什么？', '离婚的主要起因是什么？ &mdash;&mdash; 答案: 结婚')
('286、386、486 这些CPU差在那里？', '286、386、486 这些CPU差在那里？ &mdash;&mdash; 答案: 插在主板上.\u3000\u3000')
('阿兵哥出操去野外最喜欢打什么？', '阿兵哥出操去野外最喜欢打什么？ &mdash;&mdash; 答案: 打香肠\u3000')
('大雄练就了“吃西瓜不吐子”的绝招，到底他是怎么练成的？', '大雄练就了&ldquo;吃西瓜不吐子&rdquo;的绝招，到底他是怎么练成的？ &mdash;&mdash; 答案: 吃得是无子西瓜呀')
('黑鸡厉害还是白鸡厉害?为什么?', '黑鸡厉害还是白鸡厉害?为什么? &mdash;&mdash; 答案: 黑鸡会生白蛋，白鸡不会生黑蛋')
('在一次监察严密的考试中，有两个学生交了一模一样的考卷。主考官发现后，却并没有认为他们作弊，这是什么原因？', '在一次监察严密的考试中，有两个学生交了一模一样的考卷。主考官发现后，却并没有认为他们作弊，这是什么原因？ &mdash;&mdash; 答案: 二张考卷交得都是白卷')
('谁是世界上最有恒心的画家？', '谁是世界上最有恒心的画家？ &mdash;&mdash; 答案: 爱化妆的女人')
('梁山伯和祝英台变成了一对比翼双飞的蝴蝶之后怎样了?', '梁山伯和祝英台变成了一对比翼双飞的蝴蝶之后怎样了? &mdash;&mdash; 答案: 生了一堆毛毛虫')
('为什么拿破仑的字典里没有一个“难”字？', '为什么拿破仑的字典里没有一个&ldquo;难&rdquo;字？ &mdash;&mdash; 答案: 他的字典是法文')
('小杰最爱吹牛，但是为什么他说大家都说他讲话很实在？', '小杰最爱吹牛，但是为什么他说大家都说他讲话很实在？ &mdash;&mdash; 答案: 那是他自己说的')
('人死后，为什么会变得冰凉？', '人死后，为什么会变得冰凉？ &mdash;&mdash; 答案: 心静自然凉')
('阿忠结婚好几年了，却没生下一个孩子，这是为什么？', '阿忠结婚好几年了，却没生下一个孩子，这是为什么？ &mdash;&mdash; 答案: 他生的是双胞胎')
('实行减肥时，最容易瘦的是哪一个部位？', '实行减肥时，最容易瘦的是哪一个部位？ &mdash;&mdash; 答案: 钱包\u3000')
('一年前的元月一日，所有的人都在做着一件非常重要的事，你记得是什么事吗？', '一年前的元月一日，所有的人都在做着一件非常重要的事，你记得是什么事吗？&mdash;&mdash; 答案: 都在呼吸')
('拿破仑指挥作战时，高喊“冲啊！”为何所有士兵却是动也不动？', '拿破仑指挥作战时，高喊“冲啊！”为何所有士兵却是动也不动？&mdash;&mdash; 答案: 拿破仑说的是中文士兵怎么听得懂')
('鸭蛋一打有多少个？', '鸭蛋一打有多少个？ &mdash;&mdash; 答案: 全没有了碎了')
('在餐厅中吃完饭发现没带钱，怎么办？', '在餐厅中吃完饭发现没带钱，怎么办？ &mdash;&mdash; 答案: 刷卡或吃赊帐')
